开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
容器,环境影响报告表公示本,张贴,电离辐射警告标志,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
防护用品,环境影响报告表公示本,配备,铅帽,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
防护用品,环境影响报告表公示本,配备,铅颈套,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
防护用品,环境影响报告表公示本,配备,铅眼镜,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
防护用品,环境影响报告表公示本,配备,铅衣,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
防护用品,环境影响报告表公示本,配备,铅手套,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
一层显像诊断中心,环境影响报告表公示本,配置,防护用品,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
二层核素治疗病房,环境影响报告表公示本,配置,防护用品,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
三层甲亢治疗区,环境影响报告表公示本,配置,防护用品,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
自动分装给药仪,环境影响报告表公示本,采用,隔室控制,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
自动分装给药仪,环境影响报告表公示本,自带,防护,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
分装间,环境影响报告表公示本,配备,通风橱,环境影响报告表公示本,，容器表面应张贴电离辐射警告标志；防护用品：拟配备铅帽、铅颈套、铅眼镜、铅衣、铅手套等防护用品（其中一层显像诊断中心拟配置3套，二层核素治疗病房三层甲亢治疗区各拟配置 2套）；自动分装给药仪：本项目二层核素治疗区、三层甲亢治疗区给药将采用隔室控制自动分装仪进行自动分装操作的方式，医护人员通过对讲装置指导患者服药，自动分装给药仪自带50mmPb 的防护；通风橱：本项目一层分装间内拟配备带屏蔽的通风橱（65mmPb）；双人双锁：本项目储源柜拟设置双人双锁，分别由专人保管。
